Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.2.4 port 40189 connected to 192.168.2.5 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  2.08 MBytes  17.4 Mbits/sec  1503  
[  5]   1.00-2.00   sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]   2.00-3.00   sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]   3.00-4.00   sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]   4.00-5.00   sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]   5.00-6.00   sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]   6.00-7.00   sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]   7.00-8.00   sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]   8.00-9.00   sec  2.02 MBytes  16.9 Mbits/sec  1463  
[  5]   9.00-10.00  sec  1.97 MBytes  16.5 Mbits/sec  1428  
[  5]  10.00-11.00  sec  2.02 MBytes  17.0 Mbits/sec  1464  
[  5]  11.00-12.00  sec  2.00 MBytes  16.8 Mbits/sec  1447  
[  5]  12.00-13.00  sec  1.99 MBytes  16.7 Mbits/sec  1439  
[  5]  13.00-14.00  sec  2.01 MBytes  16.8 Mbits/sec  1454  
[  5]  14.00-15.00  sec  1.98 MBytes  16.6 Mbits/sec  1432  
[  5]  15.00-16.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  16.00-17.00  sec  1.99 MBytes  16.7 Mbits/sec  1444  
[  5]  17.00-18.00  sec  1.99 MBytes  16.7 Mbits/sec  1442  
[  5]  18.00-19.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  19.00-20.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  20.00-21.00  sec  2.01 MBytes  16.8 Mbits/sec  1454  
[  5]  21.00-22.00  sec  2.00 MBytes  16.7 Mbits/sec  1445  
[  5]  22.00-23.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  23.00-24.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  24.00-25.00  sec  2.00 MBytes  16.8 Mbits/sec  1448  
[  5]  25.00-26.00  sec  1.97 MBytes  16.5 Mbits/sec  1425  
[  5]  26.00-27.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  27.00-28.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  28.00-29.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  29.00-30.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  30.00-31.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  31.00-32.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  32.00-33.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  33.00-34.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  34.00-35.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  35.00-36.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  36.00-37.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  37.00-38.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  38.00-39.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  39.00-40.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  40.00-41.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  41.00-42.00  sec  1.96 MBytes  16.4 Mbits/sec  1419  
[  5]  42.00-43.00  sec  1.97 MBytes  16.5 Mbits/sec  1428  
[  5]  43.00-44.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  44.00-45.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  45.00-46.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  46.00-47.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  47.00-48.00  sec  1.87 MBytes  15.7 Mbits/sec  1352  
[  5]  48.00-49.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  49.00-50.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  50.00-51.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  51.00-52.00  sec  1.98 MBytes  16.6 Mbits/sec  1431  
[  5]  52.00-53.00  sec  1.97 MBytes  16.6 Mbits/sec  1429  
[  5]  53.00-54.00  sec  1.92 MBytes  16.1 Mbits/sec  1391  
[  5]  54.00-55.00  sec  1.88 MBytes  15.8 Mbits/sec  1365  
[  5]  55.00-56.00  sec  1.81 MBytes  15.2 Mbits/sec  1313  
[  5]  56.00-57.00  sec  1.72 MBytes  14.4 Mbits/sec  1248  
[  5]  57.00-58.00  sec  1.71 MBytes  14.3 Mbits/sec  1235  
[  5]  58.00-59.00  sec  1.74 MBytes  14.6 Mbits/sec  1261  
[  5]  59.00-60.00  sec  1.73 MBytes  14.5 Mbits/sec  1251  
[  5]  60.00-61.00  sec  1.72 MBytes  14.4 Mbits/sec  1245  
[  5]  61.00-62.00  sec  1.65 MBytes  13.9 Mbits/sec  1196  
[  5]  62.00-63.00  sec  1.69 MBytes  14.2 Mbits/sec  1222  
[  5]  63.00-64.00  sec  1.71 MBytes  14.3 Mbits/sec  1235  
[  5]  64.00-65.00  sec  1.62 MBytes  13.6 Mbits/sec  1170  
[  5]  65.00-66.00  sec  1.69 MBytes  14.2 Mbits/sec  1222  
[  5]  66.00-67.00  sec  1.69 MBytes  14.2 Mbits/sec  1222  
[  5]  67.00-68.00  sec  1.63 MBytes  13.7 Mbits/sec  1179  
[  5]  68.00-69.00  sec  1.59 MBytes  13.3 Mbits/sec  1148  
[  5]  69.00-70.00  sec  1.65 MBytes  13.9 Mbits/sec  1196  
[  5]  70.00-71.00  sec  1.60 MBytes  13.4 Mbits/sec  1157  
[  5]  71.00-72.00  sec  1.58 MBytes  13.3 Mbits/sec  1144  
[  5]  72.00-73.00  sec  1.62 MBytes  13.6 Mbits/sec  1170  
[  5]  73.00-74.00  sec  1.57 MBytes  13.2 Mbits/sec  1138  
[  5]  74.00-75.00  sec  1.99 MBytes  16.7 Mbits/sec  1440  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-75.00  sec   143 MBytes  16.0 Mbits/sec  0.000 ms  0/103570 (0%)  sender
[  5]   0.00-75.04  sec   143 MBytes  16.0 Mbits/sec  0.824 ms  0/103567 (0%)  receiver

iperf Done.
