edge_name,unix_timestamp,percentage_cpu_utilisation
edge4, 1631469530.454877, 26.3
edge4, 1631469533.4760923, 25.2
edge4, 1631469536.51834, 27.2
edge4, 1631469540.278627, 27.8
edge4, 1631469543.327747, 26.4
edge4, 1631469546.3445911, 25.8
edge4, 1631469550.4313118, 24.9
edge4, 1631469554.5400796, 26.4
edge4, 1631469557.5658047, 25.4
edge4, 1631469560.5922172, 26.7
edge4, 1631469566.8881063, 27.1
edge4, 1631469569.911334, 26.5
edge4, 1631469572.9683475, 28.2
edge4, 1631469575.9854898, 27.9
edge4, 1631469579.008241, 25.8
edge4, 1631469582.0285707, 25.5
edge4, 1631469585.0661647, 26.1
edge4, 1631469588.0905812, 27.3
edge4, 1631469592.1753743, 26.6
edge4, 1631469595.2190938, 26.1
edge4, 1631469598.2733967, 25.7
edge4, 1631469601.3065536, 27.0
edge4, 1631469605.3676116, 1.7
edge4, 1631469608.3901055, 0.5
